feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554662	-8.23478272047375	-8.53179306625871	-4.49657972201027	-3.31760517574564	-4.54169619503971	-1.5762103386232	-6.38239802579024	NA	-3.23399926797338	NA	-2.68746410917622	-6.15607134860568	-3.80789680342046	-5.45027285860623	NA	-7.24629765666444	NA	NA	NA
SRR16554663	NA	-12.2304354144762	-1.8088462129354	-1.46429577661012	-6.17519989275085	-3.6360704525729	-7.46345368294608	NA	-4.25419026496342	-12.9542886458243	-4.17825256513774	-9.30677311346394	-3.64281782311244	-5.50390871338037	NA	-6.05774960474792	-9.89745742322758	NA	NA
SRR16554664	-4.18199789447968	-13.9088313271919	-2.12339915398588	-1.19136983043361	-5.63226869734477	-4.0801025110676	NA	-5.80260901286891	-4.62360727088451	-5.8667128633166	-4.82148655984257	-8.49752349683188	-5.27967434663951	-5.55033065163628	NA	NA	-7.08729757782207	-7.79259419664361	NA
SRR16554665	-5.56008291985384	-9.07856499806108	-3.37770087260519	-0.983956070877	-6.69998070477443	-5.51185348950204	NA	NA	-3.99015268303955	-4.80331965730827	-4.35512073763874	-2.89279566643935	NA	-6.53799393279683	NA	-6.79977121141142	NA	NA	NA
SRR16554666	-8.27066152150688	-9.0009641484319	-3.21318257566346	-2.06959725259571	-4.24428715595361	-2.40337911801347	-5.66982662170265	NA	-3.01972041366442	-7.72556062684583	-3.33527464499484	-6.90773886199038	-4.33072365218517	-4.99321913510053	NA	NA	NA	-14.2303323323798	NA
SRR16554667	-10.0073507645024	-13.3550233170676	-4.75441855106721	-3.85130153522572	-3.65159332047609	-1.78990444078523	-8.99978476601753	-11.6033896731126	-2.97227440089602	-8.1057108605966	-3.19558161503148	-2.562634754006	-5.78636906905537	-5.86302396952987	-9.39765997591893	NA	NA	NA	NA
SRR16554668	NA	NA	-1.64771509206308	-1.10981912375598	-11.9165652325638	-6.7051925181722	-14.6080091613658	NA	-3.22970198825497	-9.45119827342477	-10.2922877863376	NA	-5.4981323500244	-5.32912563877603	NA	-5.13563114044989	-9.41002307721134	NA	NA
SRR16554669	-7.26619101923008	-12.3592512941707	-5.20994423416197	-1.83529801597369	-4.50351392513831	-2.47224832900686	-4.20116844718293	NA	-2.90682009910298	NA	-3.23405286093182	-7.23803538516098	-5.66243628282573	-3.86350191237888	-7.53954633314716	-6.60295202065145	NA	NA	NA
SRR16554670	-7.78856901774656	-12.4036506883993	-2.5756937581519	-2.23923727975704	-4.35814364108217	-2.15622623987719	-6.24909112759361	-7.68531389095627	-4.18844088997147	-9.7531233204424	-2.59472095972947	-7.78047727993759	-5.29299790130428	-6.72734696480458	NA	-9.78321243066316	-10.9484747040461	NA	NA
SRR16554671	-5.72233072942436	-10.8669093946566	-4.68904436338263	-2.87464568401001	-3.24297045998142	-2.69276611659262	-5.51295642847398	-7.67273737485895	-3.73763045002112	-3.88197577891005	-2.09015363225484	-10.1277220343069	-4.19013365278675	-6.07613200160746	NA	-7.41477823561466	-7.37230333442623	NA	NA
